susceptible,exposed,infected,recovered
6990,10,0,0
6990,10,0,0
6990,10,0,0
6990,10,0,0
6990,0,10,0
6981,9,10,0
6969,21,10,0
6956,34,10,0
6945,45,10,0
6941,49,10,0
6932,49,19,0
6917,52,31,0
6896,60,44,0
6867,78,55,0
6833,108,59,0
6808,124,68,0
6786,131,83,0
6766,130,104,0
6733,134,123,10
6687,146,157,10
6655,153,182,10
6616,170,204,10
6571,195,224,10
6536,197,257,10
6488,199,294,19
6428,227,314,31
6381,235,340,44
6328,243,374,55
6284,252,405,59
6230,258,444,68
6167,261,489,83
6102,279,515,104
6018,310,539,133
5954,330,549,167
5894,336,578,192
5829,338,619,214
5765,337,664,234
5712,306,715,267
5640,314,733,313
5562,332,761,345
5495,334,787,384
5416,349,806,429
5346,366,824,464
5268,372,848,512
5201,361,866,572
5134,361,886,619
5049,367,912,672
4972,374,938,716
4905,363,962,770
4808,393,966,833
4749,385,968,898
4684,365,969,982
4613,359,982,1046
4541,364,989,1106
4479,329,1021,1171
4389,360,1016,1235
4317,367,1028,1288
4232,381,1027,1360
4155,386,1021,1438
4076,403,1016,1505
4010,379,1027,1584
3934,383,1029,1654
3871,361,1036,1732
3781,374,1046,1799
3714,362,1058,1866
3642,368,1039,1951
3574,360,1038,2028
3513,358,1034,2095
3438,343,1027,2192
3375,339,1035,2251
3307,335,1042,2316
3234,340,1039,2387
3164,349,1028,2459
3095,343,1041,2521
3040,335,1014,2611
2989,318,1010,2683
2928,306,998,2768
2875,289,991,2845
2811,284,981,2924
2750,290,970,2990
2693,296,945,3066
2647,281,943,3129
2581,294,906,3219
2516,295,903,3286
2459,291,892,3358
2402,291,881,3426
2342,305,866,3487
2293,288,857,3562
2250,266,859,3625
2202,257,848,3693
2153,249,832,3766
2095,247,822,3836
2054,239,802,3905
1997,253,790,3960
1951,251,787,4011
1912,241,775,4072
1864,231,780,4125
1808,246,757,4189
1769,228,753,4250
1728,223,742,4307
1677,235,735,4353
1634,230,717,4419
1592,216,708,4484
1552,217,690,4541
1520,208,674,4598
1485,192,665,4658
1441,193,659,4707
1400,192,658,4750
1361,191,650,4798
1325,195,633,4847
1285,200,610,4905
1256,185,613,4946
1223,177,597,5003
1193,168,590,5049
1150,175,587,5088
1112,173,579,5136
1081,175,552,5192
1045,178,546,5231
1016,177,535,5272
993,157,527,5323
964,148,522,5366
940,141,511,5408
908,137,507,5448
878,138,504,5480
857,136,492,5515
831,133,477,5559
803,137,460,5600
781,127,453,5639
749,129,447,5675
725,132,428,5715
695,136,425,5744
665,138,420,5777
645,136,412,5807
623,126,401,5850
601,124,387,5888
580,115,386,5919
556,109,380,5955
535,110,371,5984
512,111,370,6007
495,106,363,6036
475,105,360,6060
464,92,352,6092
449,86,343,6122
427,85,345,6143
420,75,336,6169
400,75,328,6197
384,80,317,6219
373,76,300,6251
362,65,298,6275
351,69,275,6305
337,63,265,6335
325,59,261,6355
300,73,250,6377
291,71,239,6399
282,69,229,6420
268,69,219,6444
257,68,210,6465
250,50,212,6488
236,55,204,6505
227,55,193,6525
214,54,196,6536
202,55,192,6551
193,57,177,6573
178,58,184,6580
167,60,173,6600
160,54,170,6616
147,55,171,6627
135,58,169,6638
129,49,173,6649
118,49,170,6663
111,49,165,6675
102,45,153,6700
91,44,156,6709
85,44,153,6718
74,44,150,6732
63,48,146,6743
59,43,148,6750
55,36,145,6764
47,38,142,6773
42,32,140,6786
37,26,139,6798
31,28,134,6807
27,28,123,6822
23,24,120,6833
21,21,118,6840
18,19,110,6853
16,15,104,6865
12,15,102,6871
10,13,95,6882
6,15,90,6889
6,12,84,6898
4,12,75,6909
2,10,73,6915
2,8,64,6926
1,5,57,6937
1,5,53,6941
1,3,51,6945
0,2,45,6953
0,2,40,6958
0,1,36,6963
0,1,30,6969
0,1,26,6973
0,0,23,6977
0,0,21,6979
0,0,18,6982
0,0,16,6984
0,0,12,6988
0,0,10,6990
0,0,6,6994
0,0,6,6994
0,0,4,6996
0,0,2,6998
0,0,2,6998
0,0,1,6999
0,0,1,6999
0,0,1,6999
0,0,0,7000
0,0,0,7000
10,0,0,6990
10,0,0,6990
10,0,0,6990
10,0,0,6990
10,0,0,6990
10,0,0,6990
19,0,0,6981
31,0,0,6969
44,0,0,6956
55,0,0,6945
59,0,0,6941
68,0,0,6932
83,0,0,6917
104,0,0,6896
133,0,0,6867
167,0,0,6833
192,0,0,6808
214,0,0,6786
234,0,0,6766
267,0,0,6733
313,0,0,6687
345,0,0,6655
384,0,0,6616
429,0,0,6571
464,0,0,6536
512,0,0,6488
572,0,0,6428
619,0,0,6381
672,0,0,6328
716,0,0,6284
770,0,0,6230
833,0,0,6167
898,0,0,6102
982,0,0,6018
1046,0,0,5954
1106,0,0,5894
1171,0,0,5829
1235,0,0,5765
1288,0,0,5712
1360,0,0,5640
1438,0,0,5562
1505,0,0,5495
1584,0,0,5416
1654,0,0,5346
1732,0,0,5268
1799,0,0,5201
1866,0,0,5134
1951,0,0,5049
2028,0,0,4972
2095,0,0,4905
2192,0,0,4808
2251,0,0,4749
2316,0,0,4684
2387,0,0,4613
2459,0,0,4541
2521,0,0,4479
2611,0,0,4389
2683,0,0,4317
2768,0,0,4232
2845,0,0,4155
2924,0,0,4076
2990,0,0,4010
3066,0,0,3934
3129,0,0,3871
3219,0,0,3781
3286,0,0,3714
3358,0,0,3642
3426,0,0,3574
3487,0,0,3513
3562,0,0,3438
3625,0,0,3375
3693,0,0,3307
3766,0,0,3234
3836,0,0,3164
3905,0,0,3095
3960,0,0,3040
4011,0,0,2989
4072,0,0,2928
4125,0,0,2875
4189,0,0,2811
4250,0,0,2750
4307,0,0,2693
4353,0,0,2647
4419,0,0,2581
4484,0,0,2516
4541,0,0,2459
4598,0,0,2402
4658,0,0,2342
4707,0,0,2293
4750,0,0,2250
4798,0,0,2202
4847,0,0,2153
4905,0,0,2095
4946,0,0,2054
5003,0,0,1997
5049,0,0,1951
5088,0,0,1912
5136,0,0,1864
5192,0,0,1808
5231,0,0,1769
5272,0,0,1728
5323,0,0,1677
5366,0,0,1634
5408,0,0,1592
5448,0,0,1552
5480,0,0,1520
5515,0,0,1485
5559,0,0,1441
5600,0,0,1400
5639,0,0,1361
5675,0,0,1325
5715,0,0,1285
5744,0,0,1256
5777,0,0,1223
5807,0,0,1193
5850,0,0,1150
5888,0,0,1112
5919,0,0,1081
5955,0,0,1045
5984,0,0,1016
6007,0,0,993
6036,0,0,964
6060,0,0,940
6092,0,0,908
6122,0,0,878
6143,0,0,857
6169,0,0,831
6197,0,0,803
6219,0,0,781
6251,0,0,749
6275,0,0,725
6305,0,0,695
6335,0,0,665
6355,0,0,645
6377,0,0,623
6399,0,0,601
6420,0,0,580
6444,0,0,556
6465,0,0,535
6488,0,0,512
6505,0,0,495
6525,0,0,475
6536,0,0,464
6551,0,0,449
6573,0,0,427
6580,0,0,420
6600,0,0,400
